x0,x1,y0,y1,z0,z1,face,material,surf_variant,flux_kW_m2,cos_theta
1.4000,1.4000,0.3000,0.4000,-0.9000,-0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,-0.8000,-0.7000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,0.7000,0.8000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,-0.9000,-0.8000,-0.3000,-0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,0.8000,0.9000,-0.3000,-0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,-0.9000,-0.8000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,0.8000,0.9000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,-0.3000,-0.2000,0.9000,1.0000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,0.2000,0.3000,0.9000,1.0000,-x,EGFR,EGFR_R1250,1250,0.9659
1.7000,1.8000,-0.4000,-0.3000,1.1000,1.1000,+z,ACRY,ACRY_R0150,150,0.2588
1.7000,1.8000,0.3000,0.4000,1.1000,1.1000,+z,ACRY,ACRY_R0300,300,0.2588
1.7000,1.8000,-0.3000,0.3000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
1.8000,1.9000,-0.3000,0.2000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
1.8000,1.9000,0.2000,0.3000,1.2000,1.2000,+z,ACRY,ACRY_R0250,250,0.2588
1.8000,1.9000,-0.4000,-0.3000,1.2000,1.2000,+z,ACRY,ACRY_R0250,250,0.2588
1.8000,1.9000,0.3000,0.4000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
1.9000,2.0000,-0.3000,0.3000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
1.9000,2.1000,-0.5000,-0.4000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
1.9000,1.9667,0.4000,0.5000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
1.9667,2.1000,0.4000,0.5000,1.2000,1.2000,+z,ACRY,ACRY_R0250,250,0.2588
1.9000,1.9667,-0.4000,-0.3000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
1.9667,2.1000,-0.4000,-0.3000,1.3000,1.3000,+z,ACRY,ACRY_R0150,150,0.2588
1.9000,2.1000,0.3000,0.4000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
2.0000,2.1000,-0.2000,0.2000,1.4000,1.4000,+z,ACRY,ACRY_R0300,300,0.2588
2.0000,2.2000,-0.6000,-0.5000,1.2000,1.2000,+z,ACRY,ACRY_R0250,250,0.2588
2.0000,2.2000,0.5000,0.6000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
2.1000,2.2000,-0.5000,-0.4000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
2.1000,2.2000,0.4000,0.5000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
2.1000,2.2000,-0.4000,-0.3000,1.4000,1.4000,+z,ACRY,ACRY_R0150,150,0.2588
2.1000,2.2000,0.3000,0.4000,1.4000,1.4000,+z,ACRY,ACRY_R0300,300,0.2588
2.1000,2.2000,-0.2000,0.2000,1.5000,1.5000,+z,ACRY,ACRY_R0300,300,0.2588
2.2000,2.3000,-0.7000,-0.6000,1.2000,1.2000,+z,ACRY,ACRY_R0250,250,0.2588
2.2000,2.3000,0.6000,0.7000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
2.2000,2.3000,-0.6000,-0.5000,1.3000,1.3000,+z,ACRY,ACRY_R0250,250,0.2588
2.2000,2.3000,0.5000,0.6000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
2.2000,2.3000,-0.5000,-0.4000,1.4000,1.4000,+z,ACRY,ACRY_R0300,300,0.2588
2.2000,2.3000,0.4000,0.5000,1.4000,1.4000,+z,ACRY,ACRY_R0300,300,0.2588
2.2000,2.4000,-0.4000,-0.3000,1.5000,1.5000,+z,ACRY,ACRY_R0150,150,0.2588
2.2000,2.3000,0.3000,0.4000,1.5000,1.5000,+z,ACRY,ACRY_R0300,300,0.2588
2.3000,2.4000,0.3000,0.4000,1.5000,1.5000,+z,ACRY,ACRY_R0250,250,0.2588
2.2000,2.4000,-0.2000,0.2000,1.6000,1.6000,+z,ACRY,ACRY_R0300,300,0.2588
2.3000,2.4000,-0.8000,-0.7000,1.2000,1.2000,+z,ACRY,ACRY_R0250,250,0.2588
2.3000,2.4000,0.7000,0.8000,1.2000,1.2000,+z,ACRY,ACRY_R0300,300,0.2588
