azimuth_deg,elevation_deg,direct_groups,direct_target_groups,min_positive_target_p90,mean_target_p90,mean_all_p90,RADM_max,WINS_max,BED_max,CURT_max,U4_max,SEAT_max,AL2024_max,AL5052_max,AL7075_max,O2TANK_max,H1_max,H2_max,H3_max,H4_max,H5_max,H6_max,H7_max,RADM_p90,WINS_p90,BED_p90,CURT_p90,U4_p90,SEAT_p90,AL2024_p90,AL5052_p90,AL7075_p90,O2TANK_p90,H1_p90,H2_p90,H3_p90,H4_p90,H5_p90,H6_p90,H7_p90
150.0,5.0,10,7,274.9999999999999,533.5714285714286,583.5,850.0,750.0,0.0,750.0,0.0,750.0,850.0,450.0,500.0,0.0,500.0,850.0,0.0,400.0,0.0,0.0,0.0,850.0,700.0,0.0,700.0,0.0,700.0,850.0,410.0,274.9999999999999,0.0,500.0,489.9999999999999,0.0,360.0,0.0,0.0,0.0
240.0,15.0,10,7,50.0,629.2857142857143,635.5,850.0,750.0,0.0,700.0,0.0,700.0,850.0,0.0,850.0,700.0,850.0,850.0,0.0,50.0,0.0,0.0,0.0,850.0,650.0,0.0,650.0,0.0,650.0,500.0,0.0,850.0,595.0,710.0,850.0,0.0,50.0,0.0,0.0,0.0
270.0,0.0,10,6,760.0000000000001,960.0,902.0,1000.0,900.0,0.0,800.0,800.0,800.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,800.0,0.0,0.0,0.0,0.0,1000.0,900.0,0.0,800.0,760.0000000000001,800.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,760.0000000000001,0.0,0.0,0.0,0.0
180.0,60.0,10,6,670.0,803.3333333333334,740.5,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,0.0,0.0,850.0,850.0,450.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,710.0,850.0,0.0,0.0,0.0,850.0,850.0,425.0,670.0,0.0,0.0,750.0
180.0,15.0,10,6,560.0,851.6666666666666,839.5,950.0,950.0,0.0,900.0,0.0,800.0,950.0,0.0,700.0,0.0,950.0,950.0,800.0,750.0,0.0,0.0,0.0,950.0,900.0,0.0,800.0,0.0,785.0,950.0,0.0,560.0,0.0,950.0,950.0,800.0,750.0,0.0,0.0,0.0
0.0,15.0,10,6,500.0,850.0,839.5,950.0,950.0,0.0,900.0,0.0,800.0,950.0,0.0,700.0,0.0,950.0,950.0,800.0,800.0,0.0,0.0,0.0,950.0,900.0,0.0,800.0,0.0,795.0,950.0,0.0,500.0,0.0,950.0,950.0,800.0,800.0,0.0,0.0,0.0
0.0,60.0,10,6,500.0,743.3333333333334,708.0,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,0.0,0.0,850.0,850.0,450.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,750.0,500.0,0.0,0.0,0.0,850.0,850.0,420.0,660.0,0.0,0.0,750.0
90.0,60.0,10,6,250.0,666.6666666666666,590.0,850.0,750.0,0.0,750.0,0.0,150.0,850.0,0.0,250.0,0.0,850.0,850.0,450.0,450.0,0.0,0.0,0.0,850.0,700.0,0.0,650.0,0.0,150.0,850.0,0.0,250.0,0.0,850.0,850.0,400.0,350.0,0.0,0.0,0.0
240.0,5.0,10,6,200.0,660.0,641.0,850.0,800.0,0.0,750.0,200.0,750.0,850.0,0.0,850.0,0.0,850.0,850.0,350.0,0.0,0.0,0.0,0.0,850.0,700.0,0.0,700.0,200.0,700.0,500.0,0.0,850.0,0.0,710.0,850.0,350.0,0.0,0.0,0.0,0.0
210.0,15.0,10,6,200.0,535.0,562.0,850.0,750.0,0.0,700.0,0.0,700.0,850.0,0.0,500.0,0.0,500.0,850.0,650.0,200.0,0.0,0.0,0.0,850.0,650.0,0.0,650.0,0.0,550.0,700.0,0.0,500.0,0.0,460.0,500.0,560.0,200.0,0.0,0.0,0.0
